2025-06-04 09:33:46
Parameters:
init_smi: CC
program_name: cc
output_path: .\case3\results
pocket_file: .\case3\imatinib_pocket6A.pdb
lr: 0.01
lr_decrease: 0.1
batch_size: 64
gamma: 1.0
learning_iter: 1
target_iter: 10
memory_capacity: 1000
max_episode: 8000
max_step: 5
epsilon: 0.95
epsilon_increase: 0.05
Objective_properties: ['SAscore', 'QED', 'Affinity']

Episode,SAscore,QED,Affinity,SMILES
467,0.892,0.512,4.17,CCCCN
468,0.636,0.404,4.5,N#CCCC=C=N
469,0.636,0.404,4.5,N#CCCC=C=N
470,0.835,0.526,4.31,CCC(C)COC
471,0.88,0.494,4.091,COCC(C)C
472,0.88,0.494,4.091,COCC(C)C
473,0.821,0.305,4.266,COCCOO
474,0.77,0.494,4.671,CC(C)CC(N)O
475,0.832,0.312,4.414,N#CC(=O)O
476,0.765,0.448,4.026,CC=CCO
477,0.765,0.448,4.026,CC=CCO
478,0.762,0.47,4.369,CCCC(N)O
479,0.723,0.418,4.709,N#CC(=O)CO
480,0.733,0.465,4.01,CCC=CO
481,0.733,0.465,4.01,CCC=CO
482,0.902,0.513,4.121,CCCCO
483,0.785,0.491,4.087,CC(O)CCO
484,0.741,0.448,4.145,C=CCC=CC
485,0.714,0.414,4.43,CCC=CC=CO
486,0.714,0.414,4.43,CCC=CC=CO
487,0.757,0.448,4.158,C=CC=CCC
488,0.757,0.448,4.158,C=CC=CCC
489,0.757,0.448,4.158,C=CC=CCC
490,0.757,0.448,4.158,C=CC=CCC
491,0.819,0.428,4.174,CCC=C(C)C
492,0.766,0.362,4.105,CCC=CC=O
493,0.819,0.428,4.174,CCC=C(C)C
494,0.791,0.414,4.263,CC=CCC
495,0.776,0.365,4.36,C=CCCC#N
496,0.776,0.365,4.36,C=CCCC#N
497,0.698,0.421,4.093,C=CCC#N
498,0.808,0.448,4.207,C=C(C)CO
499,0.764,0.471,4.424,CC=C(C)CO
500,0.764,0.471,4.424,CC=C(C)CO
501,0.739,0.344,4.376,CC=C(C)C=O
502,0.703,0.395,4.578,CC=C(C=O)CO
503,0.766,0.329,4.145,C=C(C)C=O
504,0.778,0.299,4.552,C=C(C)C(=O)OO
505,0.655,0.463,4.621,C=C=C(C)CN
506,0.672,0.289,4.413,CC=C(O)C=O
507,0.753,0.523,4.218,CC(O)CC(C)O
508,0.943,0.43,4.19,CC(=O)O
509,0.631,0.466,4.329,CC(C=N)CO
510,0.754,0.53,4.287,C=CC(O)CCC
511,0.85,0.512,4.115,CC(=O)CCN
512,0.675,0.374,4.341,CC=CCC=C=O
513,0.684,0.404,4.62,C=CCC(O)C=O
514,0.684,0.404,4.62,C=CCC(O)C=O
515,0.844,0.561,4.574,CCCC(C)(C)O
516,0.777,0.354,4.197,CCOOC
517,0.704,0.299,4.773,CC(N)(O)C#N
518,0.72,0.481,4.454,CCC(O)C=O
519,0.705,0.456,4.477,CC=C(O)CO
520,0.585,0.399,4.163,CC1OCOO1
521,0.868,0.435,4.13,C1CCNC1
522,0.892,0.512,4.17,CCCCN
523,0.699,0.49,4.587,CC(C#N)CN
524,0.742,0.47,4.635,CC=C(C)CN
525,0.655,0.463,4.621,C=C=C(C)CN
526,0.853,0.359,4.213,C=C(C)C(=O)OC
