2025-06-04 16:47:59
Parameters:
init_smi: Nc1nc(NCCc2ccc(O)cc2)nc2nc(-c3ccco3)nn12
program_name: ZM241385
output_path: .\case4\results
pocket_file: .\case4\ZM241385_pocket6A.pdb
lr: 0.01
lr_decrease: 0.1
batch_size: 64
gamma: 1.0
learning_iter: 1
target_iter: 10
memory_capacity: 1000
max_episode: 4000
max_step: 5
epsilon: 0.95
epsilon_increase: 0.05
Objective_properties: ['SAscore', 'QED', 'Affinity']

Episode,SAscore,QED,Affinity,SMILES
174,0.752,0.312,8.418,Cc1cc(O)ccc1CCNc1nc(N)n2nc(-c3oc(C)c(N)c3CN)nc2n1
175,0.786,0.346,8.448,Cc1cc(OO)ccc1CCNc1nc(N)n2nc(-c3ccco3)nc2n1
176,0.627,0.307,8.542,Nc1nc(NCC(O)c2cc3[nH]c2cc3O)nc2nc(-c3ccco3)nn12
177,0.727,0.197,6.612,C=C(Nc1ncn2nc(-c3cc(O)co3)nc2n1)C(=O)c1ccc(OO)cc1
178,0.803,0.35,7.578,Nc1nc(NCCc2ccc(OO)cc2)nc2nc(-c3ccco3)nn12
179,0.778,0.504,8.802,COc1ccc(CCN(C)c2nc(N)n3nc(-c4cc(C)c(O)o4)nc3n2)cc1
180,0.721,0.28,8.026,C#Cc1cc(C#N)c(-c2nc3nc(NCCc4ccc(O)cc4N)nc(N)n3n2)o1
181,0.786,0.346,8.448,Cc1cc(OO)ccc1CCNc1nc(N)n2nc(-c3ccco3)nc2n1
182,0.704,0.577,7.704,COc1ccc(CCN2CNc3nc2nc2nc(-c4ccco4)nn32)cc1
183,0.803,0.35,7.578,Nc1nc(NCCc2ccc(OO)cc2)nc2nc(-c3ccco3)nn12
184,0.693,0.408,8.206,Cc1cc(OO)cc2c1CC(C)N2c1nc(N)n2nc(-c3ccco3)nc2n1
185,0.786,0.346,8.448,Cc1cc(OO)ccc1CCNc1nc(N)n2nc(-c3ccco3)nc2n1
186,0.786,0.346,8.448,Cc1cc(OO)ccc1CCNc1nc(N)n2nc(-c3ccco3)nc2n1
187,0.803,0.35,7.578,Nc1nc(NCCc2ccc(OO)cc2)nc2nc(-c3ccco3)nn12
188,0.786,0.346,8.448,Cc1cc(OO)ccc1CCNc1nc(N)n2nc(-c3ccco3)nc2n1
189,0.724,0.365,7.77,Nc1nc(NC2Cc3ccc(OO)cc3C2)nc2nc(-c3ccco3)nn12
190,0.786,0.346,8.448,Cc1cc(OO)ccc1CCNc1nc(N)n2nc(-c3ccco3)nc2n1
191,0.725,0.223,7.772,C=NN(C)c1ccoc1-c1nc2nc(NCCc3ccc(OO)cc3)nc(N)n2n1
192,0.656,0.511,7.92,Cc1cc2cc(c1CCNc1nc(N)n3nc(-c4ccco4)nc3n1)OO2
193,0.597,0.26,7.874,NOc1c2ccc(C(O)CNc3nc(N)n4nc(-c5ccco5)nc4n3)c1OO2
194,0.627,0.307,8.542,Nc1nc(NCC(O)c2cc3[nH]c2cc3O)nc2nc(-c3ccco3)nn12
195,0.786,0.346,8.448,Cc1cc(OO)ccc1CCNc1nc(N)n2nc(-c3ccco3)nc2n1
196,0.696,0.179,7.634,Cc1cc(ONN)c(O)cc1C(O)CNc1nc(N)n2nc(-c3ccco3)nc2n1
197,0.803,0.35,7.578,Nc1nc(NCCc2ccc(OO)cc2)nc2nc(-c3ccco3)nn12
198,0.786,0.346,8.448,Cc1cc(OO)ccc1CCNc1nc(N)n2nc(-c3ccco3)nc2n1
199,0.786,0.346,8.448,Cc1cc(OO)ccc1CCNc1nc(N)n2nc(-c3ccco3)nc2n1
200,0.683,0.273,8.109,N=Nc1nc(NC2Cc3ccc(OO)cc3C2)nc2nc(-c3ccco3)nn12
201,0.56,0.254,7.943,COc1ccoc1-c1nc2nc(NC3Cc4ccc(OO)c3c4)nc(N=N)n2n1
202,0.726,0.282,7.297,Cc1coc(-c2nc3nc(N=CCc4ccc(O)c(N)c4)nc(N)n3n2)c1
203,0.541,0.214,8.242,N=Nc1nc(NC2Cc3ccc(OON)c2c3)nc2nc(-c3occc3O)nn12
204,0.67,0.145,7.99,N=Nc1nc(N=CCc2cc(N)c(O)c(O)c2)nc2nc(-c3occc3O)nn12
205,0.59,0.308,8.286,Nc1nc(NC2Cc3ccc(OO)c2c3)nc2nc(-c3occc3O)nn12
206,0.753,0.331,6.989,Nc1cc(CC=Nc2ncn3nc(-c4ccco4)nc3n2)ccc1O
